UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,Tool Wear Failure,Heat Dissipation Failure,Power Failure,Overstrain Failure,Random Failure,install_date,idle_time,cycle_time
53,H29466,H,298.8,309,1497,43.8,147,0,0,0,0,0,0,07-03-2015,96,187.84
54,L47233,L,298.7,309,1565,35.1,152,0,0,0,0,0,0,03-04-2020,24,293.06
55,L47234,L,298.7,309,1691,30.1,154,0,0,0,0,0,0,26-06-2023,38,227.27
56,L47235,L,298.8,309.1,1512,40.7,156,0,0,0,0,0,0,07-01-2021,116,64.51
57,L47236,L,298.8,309.1,1477,42.4,158,0,0,0,0,0,0,31-01-2017,32,36.54
58,L47237,L,298.8,309.1,1513,40.3,160,0,0,0,0,0,0,26-07-2016,48,145.8
59,M14918,M,298.8,309,1661,29.5,162,0,0,0,0,0,0,27-03-2018,115,37.03
60,L47239,L,298.8,309.1,1378,54.4,165,0,0,0,0,0,0,19-12-2017,84,274.57
61,L47240,L,298.8,309.1,1393,52.6,167,0,0,0,0,0,0,21-11-2015,13,21.61
62,M14921,M,298.8,309,1592,38.2,169,0,0,0,0,0,0,21-04-2015,29,74.01
63,L47242,L,298.8,309,1829,22.9,172,0,0,0,0,0,0,09-06-2019,23,126.05
64,M14923,M,298.9,309,1812,25.9,174,0,0,0,0,0,0,03-12-2020,95,192.96
65,L47244,L,299,309.1,1523,38.6,177,0,0,0,0,0,0,02-06-2015,69,102.24
66,L47245,L,299,309.1,1394,45.1,179,0,0,0,0,0,0,05-03-2022,101,205.76
67,M14926,M,298.9,308.9,1679,28.7,181,0,0,0,0,0,0,27-05-2021,80,38.07
68,H29481,H,298.8,308.9,1466,44.1,184,0,0,0,0,0,0,23-02-2019,74,166.84
69,L47248,L,298.8,308.9,1527,32.4,189,0,0,0,0,0,0,15-09-2021,104,176
70,L47249,L,298.9,309,1410,65.7,191,1,0,0,1,1,0,05-08-2023,94,179.3
71,M14930,M,298.9,309,1924,22.6,193,0,0,0,0,0,0,18-03-2017,30,146.19
72,L47251,L,298.9,309.1,1452,45.5,196,0,0,0,0,0,0,19-09-2022,86,199.22
73,L47252,L,298.9,309.1,1369,44.4,198,0,0,0,0,0,0,03-08-2024,31,244.09
74,L47253,L,299,309.1,1592,35,200,0,0,0,0,0,0,13-06-2017,108,226.92
75,L47254,L,298.9,309,1601,32.3,202,0,0,0,0,0,0,08-11-2024,8,110.95
76,L47255,L,298.8,308.9,1379,46.7,204,0,0,0,0,0,0,28-04-2018,5,112.93
77,L47256,L,298.8,308.9,1461,47.9,206,0,0,0,0,0,0,14-09-2015,64,69.99
78,L47257,L,298.8,308.9,1455,41.3,208,1,1,0,0,0,0,22-06-2017,96,183.56
79,L47258,L,298.8,308.9,1398,51.5,0,0,0,0,0,0,0,24-05-2023,27,279.15
80,L47259,L,298.8,308.9,1402,37.9,2,0,0,0,0,0,0,22-05-2019,17,258.55
81,H29494,H,298.8,308.8,1445,49.9,4,0,0,0,0,0,0,10-05-2019,66,225.13
82,L47261,L,298.9,308.9,1450,47.5,9,0,0,0,0,0,0,08-03-2018,47,176.73
83,L47262,L,298.9,308.9,1453,40.8,11,0,0,0,0,0,0,20-01-2019,41,177.64
84,L47263,L,299,309,1469,40.1,13,0,0,0,0,0,0,15-06-2019,1,104.81
85,L47264,L,298.9,308.9,1422,47.6,15,0,0,0,0,0,0,01-05-2015,12,138.98
86,M14945,M,299,309,1804,26.8,17,0,0,0,0,0,0,29-12-2017,18,62.53
87,H29500,H,299,309,1436,43.9,20,0,0,0,0,0,0,07-09-2021,10,74.5
88,L47267,L,299,309,1544,31.8,25,0,0,0,0,0,0,02-01-2020,75,180.73
89,M14948,M,299,309,1419,45.2,27,0,0,0,0,0,0,02-10-2019,115,165.45
90,M14949,M,298.9,308.9,1487,39.5,30,0,0,0,0,0,0,27-05-2019,53,220.53
91,L47270,L,298.9,308.9,1753,25.8,33,0,0,0,0,0,0,11-06-2022,77,40.93
92,L47271,L,298.9,308.9,1830,24.9,35,0,0,0,0,0,0,11-11-2020,65,204.29
93,M14952,M,298.9,308.9,1727,27.1,37,0,0,0,0,0,0,31-01-2022,44,65.02
94,L47273,L,299.1,309,1450,43,40,0,0,0,0,0,0,16-11-2023,35,130.49
95,L47274,L,299,308.9,1622,31.9,42,0,0,0,0,0,0,08-08-2020,116,138.79
96,M14955,M,299,309,1351,52.2,44,0,0,0,0,0,0,20-12-2021,66,279.6
97,M14956,M,299,309,1575,35.3,47,0,0,0,0,0,0,19-10-2015,40,86.08
98,M14957,M,298.9,308.9,1750,29.9,50,0,0,0,0,0,0,23-03-2023,72,238.62
99,L47278,L,298.9,308.8,1529,32.7,53,0,0,0,0,0,0,13-04-2017,100,90.95
100,L47279,L,298.8,308.8,1523,44.4,55,0,0,0,0,0,0,04-06-2022,89,173.78
101,L47280,L,298.8,308.9,1852,25,57,0,0,0,0,0,0,28-08-2021,49,223.18
102,L47281,L,298.8,308.8,1991,20.7,59,0,0,0,0,0,0,14-07-2015,81,186.36
103,L47282,L,298.8,308.8,1555,40.6,61,0,0,0,0,0,0,20-10-2019,9,223.38
104,M14963,M,298.8,308.8,1441,40.5,63,0,0,0,0,0,0,17-04-2021,102,247.48
105,L47284,L,298.8,308.7,1450,43.4,66,0,0,0,0,0,0,04-02-2020,117,66.18
106,L47285,L,298.8,308.7,1591,31.1,68,0,0,0,0,0,0,23-06-2024,23,250.36
107,L47286,L,298.8,308.7,1445,48.5,70,0,0,0,0,0,0,09-01-2015,12,213.95
108,M14967,M,298.8,308.8,1497,46.8,72,0,0,0,0,0,0,09-06-2018,91,112.52
109,H29522,H,298.9,308.8,1621,32.7,75,0,0,0,0,0,0,17-05-2024,91,294.77
110,L47289,L,298.9,308.7,1572,34.1,80,0,0,0,0,0,0,17-09-2023,40,77.4
111,L47290,L,298.8,308.6,1872,22.5,82,0,0,0,0,0,0,27-05-2020,74,156.66
112,H29525,H,298.7,308.6,1499,43.5,84,0,0,0,0,0,0,14-01-2022,86,32.88
113,M14972,M,298.8,308.7,1498,39.5,89,0,0,0,0,0,0,01-09-2015,76,274.94
114,M14973,M,298.8,308.6,1486,41.9,92,0,0,0,0,0,0,01-03-2020,71,109.36
115,L47294,L,298.8,308.6,1680,29.4,95,0,0,0,0,0,0,07-01-2022,53,141.33
116,L47295,L,298.8,308.6,1431,45.7,97,0,0,0,0,0,0,18-01-2016,17,65.31
117,L47296,L,298.9,308.7,1564,34.1,99,0,0,0,0,0,0,20-12-2018,43,286.12
118,L47297,L,298.8,308.6,1599,33,101,0,0,0,0,0,0,20-02-2017,69,253.08
119,M14978,M,298.8,308.6,1707,28.1,103,0,0,0,0,0,0,14-07-2019,100,246.31
120,L47299,L,298.7,308.5,1467,40.7,106,0,0,0,0,0,0,14-05-2021,35,125.69
121,L47300,L,298.9,308.7,1433,44.7,108,0,0,0,0,0,0,31-12-2017,53,211.82
122,L47301,L,298.9,308.7,1558,41.2,110,0,0,0,0,0,0,02-12-2021,66,242.73
123,L47302,L,299,308.8,1310,50.7,112,0,0,0,0,0,0,13-09-2016,113,169.28
124,L47303,L,298.9,308.7,1546,43.4,114,0,0,0,0,0,0,05-05-2017,99,81.23
125,L47304,L,298.9,308.7,1727,29.4,116,0,0,0,0,0,0,11-08-2017,91,98.31
126,L47305,L,298.9,308.6,1560,32.2,118,0,0,0,0,0,0,29-10-2017,100,290.5
127,L47306,L,299,308.6,1329,60.5,120,0,0,0,0,0,0,27-05-2017,33,62.61
128,L47307,L,298.9,308.6,1413,46.5,122,0,0,0,0,0,0,24-11-2023,35,152.08
129,L47308,L,299,308.6,1587,38.6,124,0,0,0,0,0,0,23-07-2020,16,32.92
130,L47309,L,298.9,308.5,1559,34.3,126,0,0,0,0,0,0,27-06-2019,58,91.55
131,L47310,L,298.8,308.4,1473,41.1,128,0,0,0,0,0,0,11-05-2018,14,94.78
132,L47311,L,298.8,308.4,1737,27.7,130,0,0,0,0,0,0,07-04-2019,54,90.98
133,M14992,M,298.7,308.4,1441,43.2,132,0,0,0,0,0,0,11-11-2017,9,234.8
134,M14993,M,298.7,308.4,1430,49.6,135,0,0,0,0,0,0,19-01-2024,19,119.51
135,L47314,L,298.8,308.4,1369,53,138,0,0,0,0,0,0,07-03-2023,81,164.71
136,M14995,M,298.8,308.5,1711,28.5,140,0,0,0,0,0,0,01-02-2015,13,198.55
137,H29550,H,298.7,308.5,1420,45.7,143,0,0,0,0,0,0,06-06-2022,55,266.51
138,L47317,L,298.7,308.6,1297,55.3,148,0,0,0,0,0,0,22-04-2016,13,114.4
139,H29552,H,298.8,308.6,1449,49.4,150,0,0,0,0,0,0,09-06-2017,53,169.62
140,L47319,L,298.8,308.6,1268,55.8,155,0,0,0,0,0,0,30-03-2015,107,163.97
141,L47320,L,298.8,308.6,1511,36.1,157,0,0,0,0,0,0,31-05-2022,48,92.55
142,L47321,L,298.7,308.5,1544,35.2,159,0,0,0,0,0,0,26-04-2019,101,285.65
143,M15002,M,298.6,308.4,1778,28.2,161,0,0,0,0,0,0,20-01-2022,81,158.04
144,H29557,H,298.6,308.4,1407,50.5,164,0,0,0,0,0,0,16-08-2015,87,68.89
145,M15004,M,298.6,308.4,1391,42.4,169,0,0,0,0,0,0,03-04-2022,107,180.02
146,L47325,L,298.5,308.4,1513,33.6,172,0,0,0,0,0,0,26-07-2017,117,53.75
147,H29560,H,298.5,308.4,1612,36.1,174,0,0,0,0,0,0,06-01-2019,59,74.32
148,L47327,L,298.4,308.4,1515,40.1,179,0,0,0,0,0,0,20-12-2018,3,178.82
149,M15008,M,298.3,308.3,1379,48,181,0,0,0,0,0,0,21-06-2016,107,226.13
150,L47329,L,298.4,308.3,1473,39.9,184,0,0,0,0,0,0,19-01-2022,16,26.5
151,L47330,L,298.4,308.3,1422,42.7,186,0,0,0,0,0,0,08-07-2022,98,231.3
152,M15011,M,298.4,308.2,1463,37.6,188,0,0,0,0,0,0,24-05-2017,26,77.13
153,M15012,M,298.4,308.2,1584,41,191,0,0,0,0,0,0,21-01-2017,14,139.29
154,L47333,L,298.4,308.2,1850,27,194,0,0,0,0,0,0,20-11-2021,90,109.67
155,L47334,L,298.4,308.2,1528,36.2,196,0,0,0,0,0,0,27-02-2021,72,225.99
156,H29569,H,298.4,308.2,1987,19.8,198,0,0,0,0,0,0,17-02-2016,117,129.18
157,M15016,M,298.4,308.1,1495,46,203,0,0,0,0,0,0,28-01-2019,75,263.15
158,H29571,H,298.4,308.2,1478,43.5,206,0,0,0,0,0,0,07-09-2022,46,52.26
159,M15018,M,298.4,308.2,1499,40,211,0,0,0,0,0,0,21-10-2016,41,244.14
160,L47339,L,298.4,308.2,1471,47,214,0,0,0,0,0,0,21-02-2020,100,296.77
161,L47340,L,298.4,308.2,1282,60.7,216,1,0,0,0,1,0,17-02-2024,101,44.2
162,L47341,L,298.3,308.1,1412,52.3,218,1,0,0,0,1,0,21-01-2024,17,200.9
163,L47342,L,298.3,308.1,1586,35.5,0,0,0,0,0,0,0,07-05-2017,87,265.67
164,M15023,M,298.4,308.2,1468,43.8,2,0,0,0,0,0,0,25-01-2020,83,263.26
165,M15024,M,298.5,308.3,1440,43.6,5,0,0,0,0,0,0,15-07-2017,71,271.85
166,L47345,L,298.5,308.4,1733,26,8,0,0,0,0,0,0,03-08-2020,100,167.5
167,H29580,H,298.4,308.2,1612,32.6,10,0,0,0,0,0,0,10-09-2021,23,97.03
168,H29581,H,298.4,308.3,1458,42.9,15,0,0,0,0,0,0,31-01-2020,79,259.52
169,L47348,L,298.4,308.3,1433,62.3,20,1,0,0,1,0,0,07-11-2024,102,251.73
170,L47349,L,298.4,308.3,1318,59.1,22,0,0,0,0,0,0,03-12-2024,48,87.93
171,M15030,M,298.4,308.2,1610,35,24,0,0,0,0,0,0,27-05-2019,117,91.01
172,L47351,L,298.2,308.1,1462,50.8,27,0,0,0,0,0,0,03-12-2015,22,23.72
173,M15032,M,298.1,308,1924,20.8,29,0,0,0,0,0,0,22-07-2022,14,280.92
174,M15033,M,298.2,308,1591,33.7,32,0,0,0,0,0,0,22-03-2023,28,107.51
175,L47354,L,298.2,308.1,1306,58.3,35,0,0,0,0,0,0,29-11-2021,54,179.92
176,L47355,L,298.2,308.1,1382,43.5,37,0,0,0,0,0,0,06-12-2021,24,126.43
177,L47356,L,298.2,308.1,1618,34.7,39,0,0,0,0,0,0,05-04-2019,94,160.51
178,L47357,L,298.2,308.2,1988,21.4,41,0,0,0,0,0,0,23-07-2019,23,47.12
179,L47358,L,298.2,308.2,1436,50.2,43,0,0,0,0,0,0,28-09-2017,71,142.55
180,L47359,L,298.2,308.3,1304,49.8,45,0,0,0,0,0,0,07-11-2021,73,220.3
181,L47360,L,298.2,308.3,1475,49.9,47,0,0,0,0,0,0,22-03-2021,26,252.97
182,H29595,H,298.2,308.3,1824,24.2,49,0,0,0,0,0,0,18-11-2015,105,250.1
183,M15042,M,298.1,308.2,1342,48.1,54,0,0,0,0,0,0,21-05-2022,66,188.95
184,L47363,L,298.1,308.2,1485,40.7,57,0,0,0,0,0,0,16-06-2024,23,156.48
185,L47364,L,298.2,308.2,1667,30.6,59,0,0,0,0,0,0,09-12-2018,99,211.62
186,L47365,L,298.2,308.2,1446,38.2,61,0,0,0,0,0,0,09-02-2016,83,282.15
187,L47366,L,298.1,308.3,1301,56,63,0,0,0,0,0,0,15-12-2019,98,97.24
188,L47367,L,298.2,308.4,1379,43.1,65,0,0,0,0,0,0,25-11-2022,90,167.96
189,L47368,L,298.3,308.5,1606,33.6,67,0,0,0,0,0,0,13-01-2023,5,146.59
190,M15049,M,298.3,308.4,1539,43.4,69,0,0,0,0,0,0,23-08-2015,119,224.61
191,L47370,L,298.2,308.4,1477,49.9,72,0,0,0,0,0,0,04-12-2021,28,209.84
192,L47371,L,298.2,308.4,1666,34.6,74,0,0,0,0,0,0,15-09-2023,35,34.46
193,H29606,H,298.2,308.4,1398,51.8,76,0,0,0,0,0,0,01-02-2021,18,115.09
194,H29607,H,298.2,308.4,1678,34.6,81,0,0,0,0,0,0,26-12-2016,78,169.77
195,M15054,M,298.2,308.5,2678,10.7,86,1,0,0,1,0,0,01-08-2016,9,40.55
196,L47375,L,298.3,308.5,1453,42.9,89,0,0,0,0,0,0,19-06-2015,2,55.63
197,H29610,H,298.3,308.6,1432,49.5,91,0,0,0,0,0,0,06-12-2019,6,77.01
198,M15057,M,298.4,308.6,1527,40.9,96,0,0,0,0,0,0,30-11-2015,12,68.53
199,L47378,L,298.4,308.7,1588,35,99,0,0,0,0,0,0,13-09-2017,0,61.78
200,L47379,L,298.4,308.6,1433,47.1,101,0,0,0,0,0,0,02-03-2020,87,177.24
201,L47380,L,298.4,308.6,1609,35,103,0,0,0,0,0,0,20-05-2024,83,35.37
202,L47381,L,298.3,308.5,1575,41.2,105,0,0,0,0,0,0,13-09-2024,13,138.44
203,M15062,M,298.4,308.5,1636,35.7,107,0,0,0,0,0,0,01-10-2018,17,166.44
204,L47383,L,298.4,308.5,1490,37.9,110,0,0,0,0,0,0,20-11-2015,41,182.5
205,L47384,L,298.4,308.5,1741,32.8,112,0,0,0,0,0,0,01-02-2022,53,219.93
206,M15065,M,298.5,308.6,1344,53,114,0,0,0,0,0,0,27-01-2016,99,188.59
207,L47386,L,298.5,308.7,1609,35.3,117,0,0,0,0,0,0,18-03-2024,57,128.13
208,M15067,M,298.4,308.7,1421,60.7,119,1,0,0,1,0,0,20-11-2017,74,261.23
209,L47388,L,298.4,308.6,1591,36.7,122,0,0,0,0,0,0,17-01-2019,56,65.33
210,L47389,L,298.4,308.6,1477,44,124,0,0,0,0,0,0,09-12-2017,89,79.6
211,L47390,L,298.4,308.7,1523,36.1,126,0,0,0,0,0,0,28-05-2022,33,233.63
212,L47391,L,298.5,308.7,1575,33.9,128,0,0,0,0,0,0,25-10-2022,54,180.7
213,H29626,H,298.4,308.7,1344,52.9,130,0,0,0,0,0,0,03-02-2023,59,239.82
214,L47393,L,298.4,308.7,1386,44.9,135,0,0,0,0,0,0,07-08-2024,57,81.98
215,M15074,M,298.3,308.6,1589,37.1,137,0,0,0,0,0,0,10-12-2023,50,230.89
216,L47395,L,298.3,308.6,1548,40.3,140,0,0,0,0,0,0,27-11-2017,15,57.42
217,L47396,L,298.3,308.6,1499,38.3,142,0,0,0,0,0,0,13-04-2019,23,201.23
218,L47397,L,298.3,308.5,1664,31.6,144,0,0,0,0,0,0,17-07-2019,74,134.22
219,L47398,L,298.3,308.6,1447,38.1,146,0,0,0,0,0,0,18-05-2023,79,40.9
220,M15079,M,298.3,308.5,1434,46.2,148,0,0,0,0,0,0,14-03-2024,31,182.63
221,L47400,L,298.3,308.5,1416,52.7,151,0,0,0,0,0,0,27-10-2024,6,45.44
222,H29635,H,298.4,308.5,1827,24.3,153,0,0,0,0,0,0,05-10-2023,105,201.16
223,L47402,L,298.4,308.6,1304,45,158,0,0,0,0,0,0,22-02-2023,60,96.84
224,L47403,L,298.4,308.6,1569,34.4,160,0,0,0,0,0,0,22-08-2017,9,94.78
225,L47404,L,298.3,308.6,1584,29.3,162,0,0,0,0,0,0,05-10-2017,88,212.68
226,L47405,L,298.3,308.5,1362,53.8,164,0,0,0,0,0,0,18-05-2018,28,231.3
227,L47406,L,298.3,308.4,1329,49.2,166,0,0,0,0,0,0,04-10-2024,24,54
228,L47407,L,298.3,308.5,1539,36.1,168,0,0,0,0,0,0,16-11-2017,100,246.64
229,M15088,M,298.3,308.5,1629,37.1,170,0,0,0,0,0,0,02-03-2020,41,60.38
230,L47409,L,298.3,308.5,1538,32.2,173,0,0,0,0,0,0,02-07-2022,23,113.61
231,L47410,L,298.3,308.6,1570,34.8,175,0,0,0,0,0,0,28-06-2019,76,111.22
232,L47411,L,298.3,308.4,1408,43.1,177,0,0,0,0,0,0,08-01-2023,69,207.9
233,L47412,L,298.2,308.4,1424,47.6,179,0,0,0,0,0,0,02-09-2021,18,66.11
234,L47413,L,298.2,308.4,1512,34.9,181,0,0,0,0,0,0,10-09-2021,78,241.6
235,L47414,L,298.2,308.4,1478,42.9,183,0,0,0,0,0,0,20-02-2024,89,216.27
236,M15095,M,298.1,308.3,1680,33.7,185,0,0,0,0,0,0,06-04-2018,10,243.11
237,L47416,L,298.1,308.3,1495,38.7,188,0,0,0,0,0,0,20-06-2023,33,117.54
238,M15097,M,298,308.1,1552,36.6,190,0,0,0,0,0,0,13-03-2021,72,105.15
239,L47418,L,297.9,308.1,1393,50.3,193,0,0,0,0,0,0,31-01-2016,69,94.72
240,L47419,L,298,308.2,1611,30.6,195,0,0,0,0,0,0,08-09-2023,64,170.08
241,M15100,M,298,308.1,1339,51.6,197,0,0,0,0,0,0,10-10-2017,9,206.59
242,L47421,L,298,308.1,1777,24.3,200,0,0,0,0,0,0,20-03-2017,84,118.82
243,L47422,L,298,308.2,1348,58.8,202,1,0,0,0,1,0,29-05-2021,105,220.98
244,L47423,L,298,308.2,1442,44.1,204,0,0,0,0,0,0,09-01-2020,76,29.93
245,M15104,M,298,308.2,1395,49.1,206,0,0,0,0,0,0,29-11-2021,8,273.77
246,M15105,M,297.9,308.1,1627,31.4,209,0,0,0,0,0,0,29-04-2022,96,280.93
247,L47426,L,297.9,308.1,1585,33.5,212,0,0,0,0,0,0,03-12-2019,101,43.35
248,L47427,L,298,308.2,1469,45.5,214,0,0,0,0,0,0,16-05-2020,89,65.67
249,L47428,L,298,308.3,1362,56.8,216,1,0,0,0,1,0,11-09-2015,1,90.59
250,L47429,L,298,308.3,1405,56.2,218,1,0,0,0,1,0,29-06-2024,24,126.46
251,L47430,L,298,308.3,1662,32.7,0,0,0,0,0,0,0,23-11-2022,68,130.54
252,M15111,M,298,308.2,1466,42.6,2,0,0,0,0,0,0,15-08-2021,112,107.08
253,L47432,L,298,308.2,1620,35.8,5,0,0,0,0,0,0,01-08-2021,97,47.2
254,L47433,L,298,308.2,1357,48.2,7,0,0,0,0,0,0,17-03-2023,20,93.47
255,L47434,L,298,308.2,1514,37.9,9,0,0,0,0,0,0,23-10-2024,44,236.75
256,L47435,L,298,308.2,1489,40.4,11,0,0,0,0,0,0,13-08-2021,14,66.87
257,L47436,L,298.1,308.3,1331,63,13,0,0,0,0,0,0,10-11-2015,98,294.35
258,L47437,L,298,308,1615,29.5,15,0,0,0,0,0,0,08-02-2019,31,123.19
259,L47438,L,298.1,308.2,1482,37.9,17,0,0,0,0,0,0,02-06-2021,12,121.37
260,M15119,M,298.1,308.2,1420,63.9,19,1,0,0,1,0,0,04-12-2018,80,128.74
261,M15120,M,298.2,308.3,1522,49.1,22,0,0,0,0,0,0,04-06-2017,27,83.83
262,L47441,L,298.1,308.2,1654,32.1,25,0,0,0,0,0,0,08-10-2022,118,73.73
263,M15122,M,298.1,308.2,1736,26.8,27,0,0,0,0,0,0,21-07-2020,62,180.95
264,M15123,M,298,308.1,1587,32.3,30,0,0,0,0,0,0,06-01-2015,69,211.84
265,L47444,L,298.1,308.2,1390,47.5,33,0,0,0,0,0,0,09-08-2024,102,96.19
266,L47445,L,298,308.1,1454,37.1,35,0,0,0,0,0,0,28-12-2017,72,191.05
267,H29680,H,298,308.1,1440,43.7,37,0,0,0,0,0,0,20-06-2021,40,121.1
268,L47447,L,297.9,308,1954,21.1,42,0,0,0,0,0,0,13-03-2019,10,49.28
269,H29682,H,297.9,308,1800,24.8,44,0,0,0,0,0,0,30-04-2024,24,66.67
270,L47449,L,298,308,1524,37,49,0,0,0,0,0,0,24-09-2016,62,44.35
271,H29684,H,298,308,1520,39.6,51,0,0,0,0,0,0,16-04-2024,3,141.17
272,M15131,M,298.1,308.1,1452,40.8,56,0,0,0,0,0,0,21-07-2020,99,223.47
273,L47452,L,298.1,308.1,1484,40.4,59,0,0,0,0,0,0,31-05-2020,44,161.5
274,L47453,L,298.1,308,1426,46,61,0,0,0,0,0,0,31-12-2022,30,187.73
275,L47454,L,298.1,308,1652,28.5,63,0,0,0,0,0,0,10-09-2024,45,113.34
276,L47455,L,298,308,1401,54.7,65,0,0,0,0,0,0,16-02-2016,56,167.03
277,M15136,M,298,307.9,1750,26.6,67,0,0,0,0,0,0,03-06-2020,51,198.18
278,H29691,H,298,308,1479,50.7,70,0,0,0,0,0,0,17-06-2021,101,71.13
279,M15138,M,298,308,1620,29.4,75,0,0,0,0,0,0,17-03-2020,57,192.43
